GW_CSA_AAA,Усиленный патруль безопасности
TEXT_TOOLTIP_ESCORT_JOHANS,3 репульсорных танка S-1 FireHawke
TEXT_TOOLTIP_ESCORT_KARRDE1,1x Фрегат Звездный Галеон
TEXT_TOOLTIP_ESCORT_KARRDE2,2x фрегата DP20
TEXT_TOOLTIP_ESCORT_KARRDE3,1 незаконно модифицированный корвет CR90
TEXT_TOOLTIP_ESCORT_KARRDE4,2 незаконно модифицированных транспорта Action VI
TEXT_TOOLTIP_ESCORT_KARRDE5,1 незаконно модифицированный грузовой корабль «Барлоз»
TEXT_TOOLTIP_ESCORT_KARRDE6,1 незаконно модифицированная эскадрилья Preybird
TEXT_TOOLTIP_ESCORT_KHORAK,1 взвод штурмовиков
TEXT_TOOLTIP_ESCORT_KLICK,2 отряда теневых штурмовиков
TEXT_TOOLTIP_ESCORT_KOSH,2 отделения штурмовиков-стрелков
TEXT_TOOLTIP_ESCORT_KURAS,4 штурмовых отряда CompForce
TEXT_TOOLTIP_ESCORT_LEIA_NOGHRI,1 отряд телохранителей ногри
TEXT_TOOLTIP_ESCORT_LIGHTNING_SQUADRON,8 модифицированных шагоходов AT-RT
TEXT_TOOLTIP_ESCORT_LON_DONELL_1,1 модифицированный супертранспорт XI
TEXT_TOOLTIP_ESCORT_LON_DONELL_2,2x / 2x Нейтронно-звездный крейсер
TEXT_TOOLTIP_ESCORT_LON_DONELL_3,3x / 3x авианосца огневого сопровождения «Квазар»
TEXT_TOOLTIP_ESCORT_LON_DONELL_4,1x/2x Фрегат ДП20
TEXT_TOOLTIP_ESCORT_LON_DONELL_5,2x/3x Корвет CR90
TEXT_TOOLTIP_ESCORT_LON_DONELL_6,1 крейсерская эскадрилья Гозанти
TEXT_TOOLTIP_ESCORT_LUMIYA,2 отряда штурмовиков Королевской гвардии
TEXT_TOOLTIP_ESCORT_MASTON,2 местных военных отряда
TEXT_TOOLTIP_ESCORT_NAVY_COMMANDO,4 отряда коммандос ВМФ
TEXT_TOOLTIP_ESCORT_NICLARA1,2x Корвет CR90
TEXT_TOOLTIP_ESCORT_NICLARA2,2x CR92 Убийца
TEXT_TOOLTIP_ESCORT_NICLARA3,1x Фрегат Небулон-Б
TEXT_TOOLTIP_ESCORT_NIMBUS_COMMANDO,4 отряда коммандос «Нимбус»
TEXT_TOOLTIP_ESCORT_NOVA_STORMTROOPER,2 отделения штурмовиков Новы
TEXT_TOOLTIP_ESCORT_NR_ARMY1,2 армейских солдата-карабинера
TEXT_TOOLTIP_ESCORT_NR_ARMY2,2 отделения армейских солдат-стрелков
TEXT_TOOLTIP_ESCORT_NR_FLEET_TROOPER,4 отряда солдат флота
TEXT_TOOLTIP_ESCORT_NRDF_TROOPER,4 отряда солдат обороны
TEXT_TOOLTIP_ESCORT_NRMARINE,4 отряда морской пехоты
TEXT_TOOLTIP_ESCORT_OKTO,3 отряда Темных солдат фазы II
TEXT_TOOLTIP_ESCORT_OTTO,4 отряда наемников
TEXT_TOOLTIP_ESCORT_PENDON1,2x фрегата DP20
TEXT_TOOLTIP_ESCORT_PENDON2,1 крейсерская эскадрилья Цитадели
TEXT_TOOLTIP_ESCORT_PHALANX,6 отрядов ручных фаланг
TEXT_TOOLTIP_ESCORT_PHILLIP_SANTHE,3 отряда сотрудников корпоративной безопасности
TEXT_TOOLTIP_ESCORT_RAPTOR_COMMANDO,2 отряда коммандос «Раптор»
TEXT_TOOLTIP_ESCORT_RAPTOR_TROOPER,4 отряда солдат-рапторов
TEXT_TOOLTIP_ESCORT_REBEL_INFILTRATOR1,2 штурмовых отряда лазутчиков
TEXT_TOOLTIP_ESCORT_REBEL_INFILTRATOR2,2 снайперских отряда разведчиков
TEXT_TOOLTIP_ESCORT_RENTHAL1,1x Корвет CR90
TEXT_TOOLTIP_ESCORT_RESK,8x Темный всадник
TEXT_TOOLTIP_ESCORT_SANJIN,4 отряда штурмовиков-коммандос
TEXT_TOOLTIP_ESCORT_SCARLET1,1x Z-95 эскадрилья охотников за головами
TEXT_TOOLTIP_ESCORT_SCARLET2,1 истребительная эскадрилья «Сцик»
TEXT_TOOLTIP_ESCORT_SEDRISS,2 отряда темных штурмовиков
TEXT_TOOLTIP_ESCORT_SHADOW_EVO_TROOPER,2 отряда солдат Shadow EVO
TEXT_TOOLTIP_ESCORT_SHADOW_STORMTROOPER,2 отряда теневых штурмовиков
TEXT_TOOLTIP_ESCORT_SHELOV,4 отделения тактических подразделений Сил обороны
TEXT_TOOLTIP_ESCORT_SKANDREI1,2 крейсера-мародёра
TEXT_TOOLTIP_ESCORT_SKANDREI2,4 боевых корабля «Скандрей»
TEXT_TOOLTIP_ESCORT_SOMOS,1 отряд специалистов по оружию штурмовиков
TEXT_TOOLTIP_ESCORT_SORIN,3x Репульсорный танк 2-М
TEXT_TOOLTIP_ESCORT_SSURUSSK1,1 эскадрилья «Хищных птиц»
TEXT_TOOLTIP_ESCORT_SSURUSSK2,2 эскадрильи Z-95 «Охотники за головами»
TEXT_TOOLTIP_ESCORT_STORMTROOPER,4 отряда штурмовиков
TEXT_TOOLTIP_ESCORT_STRANG,1 отряд штурмовых коммандос
TEXT_TOOLTIP_ESCORT_SUMPNTODO,2 ударных крейсера
TEXT_TOOLTIP_ESCORT_TANNIEL,2 отряда штурмовых коммандос
TEXT_TOOLTIP_ESCORT_TENNAR,1 взвод штурмовиков
TEXT_TOOLTIP_ESCORT_TERRO,2 отряда штурмовиков мусоросжигательного завода
TEXT_TOOLTIP_ESCORT_TH313,1 взвод штурмовиков
TEXT_TOOLTIP_ESCORT_TIA_GHIA,2 штурмовых спидера Т-47
TEXT_TOOLTIP_ESCORT_TRILLILI1,1x Перехватчик Super Transport VII
TEXT_TOOLTIP_ESCORT_TRILLILI2,1 фрегат-перехватчик IV
TEXT_TOOLTIP_ESCORT_TX130S_LOCAL,2 местных военных отряда
TEXT_TOOLTIP_ESCORT_TX5532_1,1 отряд штурмовиков-карабинеров
TEXT_TOOLTIP_ESCORT_TX5532_2,1 отряд снайперов-разведчиков
TEXT_TOOLTIP_ESCORT_TX5532_3,1 отряд солдат EVO
TEXT_TOOLTIP_ESCORT_TX5532_4,1 отряд теневых штурмовиков
TEXT_TOOLTIP_ESCORT_VALEK1,1x Фрегат Небулон-Б
TEXT_TOOLTIP_ESCORT_VALEK2,2x Корвет CR90
TEXT_TOOLTIP_ESCORT_VEDDER,1 взвод армейских солдат
TEXT_TOOLTIP_ESCORT_VEERS,1 взвод штурмовиков
TEXT_TOOLTIP_ESCORT_VEILED_QUEEN1,1x зарядное устройство C70 Cruiser
TEXT_TOOLTIP_ESCORT_VIT,2 отряда солдат EVO
TEXT_TOOLTIP_ESCORT_XANTUS,1 взвод операторов ИнтБезопасности
TEXT_TOOLTIP_ESCORT_XEXUS_SHEV1,1x Джаггернаут B5
TEXT_TOOLTIP_ESCORT_XEXUS_SHEV2,4 армейских солдатских отряда
TEXT_TOOLTIP_ESCORT_XUFUSH1,1 балкерный крейсер «Нейтронная звезда»
TEXT_TOOLTIP_ESCORT_XUFUSH2,2x Корвет CR90
TEXT_TOOLTIP_ESCORT_YRROS,4x Эрроу-23 Ландспидер
TEXT_TOOLTIP_ESCORT_ZAKAR,6 скифов Банта-II
TEXT_TOOLTIP_ESPO,Полиция безопасности Управления корпоративного сектора, обычно называемая «Эспос». Эспосы, одетые в коричневую форму и броню KZZ для подавления массовых беспорядков, отвечают за поддержание корпоративного мира и печально известны своей жестокостью при защите Властей и их собственности. В первую очередь оснащенные бластерными винтовками и огнестрельным оружием для борьбы с повстанцами, в бою Эспо также предпочитают модифицируемую гранатометную установку FC-1 для противопехотных операций, которая соответствует их любви к чрезмерной силе. Среднестатистический эспо, несмотря на хорошую подготовку, не обладает высокой мотивацией и работает просто за достойную зарплату, которую им дает работа.
TEXT_TOOLTIP_ESPO_COMPANY,Компания: 40x Полиция безопасности
TEXT_TOOLTIP_ESPO_COMPANY_WEAP1,28 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_ESPO_COMPANY_WEAP2,4 легких повторяющихся бластера: 5/1,0 с/240 м
TEXT_TOOLTIP_ESPO_COMPANY_WEAP3,8x Протонный гранатомет : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_COMPANY_WEAP3A,8 сотрясающих гранатометов : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_COMPANY_WEAP4,8 сотрясающих гранат: 1/15,0 с/200 м
TEXT_TOOLTIP_ESPO_HEALTH,Здоровье: 18
TEXT_TOOLTIP_ESPO_LT_HEALTH,Здоровье: 24
TEXT_TOOLTIP_ESPO_MOVE,Скорость: 0,9
TEXT_TOOLTIP_ESPO_SGT_HEALTH,Здоровье: 20
TEXT_TOOLTIP_ESPO_SQUAD,Отряд: 10 сотрудников полиции безопасности
TEXT_TOOLTIP_ESPO_SQUAD_MEDIC_WEAP1,10 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_ESPO_SQUAD_WEAP1,7 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_ESPO_SQUAD_WEAP2,1 легкий многократный бластер: 5/1,0 с/240 м
TEXT_TOOLTIP_ESPO_SQUAD_WEAP3,2x Протонных гранатомета : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_SQUAD_WEAP3A,2 сотрясающих гранатомета: 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_SQUAD_WEAP4,2x Шоковая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_ESPO_SQUAD1_WEAP1,6 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_ESPO_SQUAD1_WEAP2,1 легкий многократный бластер: 5/1,0 с/240 м
TEXT_TOOLTIP_ESPO_SQUAD1_WEAP3,2x Протонных гранатомета : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_SQUAD1_WEAP3A,2 гранатомета сотрясения : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_WEAP1,1x 500 Riot Gun: 3/1,25 с/220 м
TEXT_TOOLTIP_ESPO_WEAP2,1x Повторяющийся бластер BlasTech Light: 5 / 1,0 с / 240 м
TEXT_TOOLTIP_ESPO_WEAP3,1 гранатомет FC-1 : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_WEAP3A,1 гранатомет FC-1 : 1/10,0 с/240 м
TEXT_TOOLTIP_ESPO_WEAP4,1 сотрясающая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_ETHERWAY_SHIELD,Щиты: 800 /
TEXT_TOOLTIP_ETTI_PIRATE,Зажигалка Etti, полученная от торговцев оружием в пространстве CSA, модифицированная более тяжелым вооружением для пиратской работы.
TEXT_TOOLTIP_ETTI_PIRATE_PD,Точечная защита: 1 / 0,40 с / 1,25 км.
TEXT_TOOLTIP_ETTI_PIRATE_WEAP1,2 легких двойных турболазера: 1/2,5 с/5,0 км
TEXT_TOOLTIP_ETTI_PIRATE_WEAP2,2 легкие счетверенные скоростные лазерные пушки: 6 / 1,67 с / 3,0 км
TEXT_TOOLTIP_ETTILIGHTER,Модифицированный грузовой самосвал, используемый CSA в качестве истребителя, контрабандиста и патрульного корабля. Несколько медленный для эскортного судна, но очень хорошо вооруженный для своих размеров.
TEXT_TOOLTIP_ETTILIGHTER_HULL,Корпус: 550
TEXT_TOOLTIP_ETTILIGHTER_MOVE,Скорость: 2,8 | Ускорение: 0,1 | Поворот: 0,35
TEXT_TOOLTIP_ETTILIGHTER_PD,Точечная защита: 1 / 0,24 с / 1,25 км.
TEXT_TOOLTIP_ETTILIGHTER_SHIELD,Щиты: 500 /
TEXT_TOOLTIP_ETTILIGHTER_WEAP1,2 легкие счетверенные скоростные лазерные пушки: 6 / 1,0 с / 3,0 км
TEXT_TOOLTIP_ETYMOS,Внушительная чиссская космическая оборонительная платформа, используемая для охраны наиболее важных колоний Дома. Обладая огневой мощью, сравнимой с некоторыми из самых мощных кораблей класса «Ночной дракон», «Этимос» является стойким стражем основной территории чиссов.
TEXT_TOOLTIP_ETYMOS_HULL,Корпус: 17500
TEXT_TOOLTIP_ETYMOS_SHIELD,Щиты: 15000 /
TEXT_TOOLTIP_ETYMOS_SQUADRON,Истребители: 1 / 1 | Корветы: 3 / 3
TEXT_TOOLTIP_ETYMOS_UPGRADE,Улучшите Иеро до Этимоса. Это обновление изменит доступный список кораблей. Обновление восстановит все разрушенные узлы подвески, но их необходимо будет отремонтировать.
TEXT_TOOLTIP_ETYMOS_WEAP1,8 тяжелых двойных мегамазеров: 2/2,0 с/8,4 км
TEXT_TOOLTIP_ETYMOS_WEAP2,8 средних двойных ионных пушек: 2/2,0 с/7,4 км
TEXT_TOOLTIP_ETYMOS_WEAP3,2 протонные торпеды: 4/16,0 с/6,4 км
TEXT_TOOLTIP_ETYMOS_WEAP4,4 средние двойные мазерные пушки: 2 / 1,0 с / 5,4 км
TEXT_TOOLTIP_EVO_TROOPER,Тяжелая миротворческая пехота, набранная из новобранцев, не являющихся членами КОМПНОР, которые проявили крайнюю ненависть к нечеловеческим существам. Оснащенные тяжелыми версиями штурмовиков с энергетической поддержкой, они обычно используются в опасных условиях, в которых обычные армейские солдаты не могут принять участие. Их стандартное оборудование, состоящее из гранатометов и многозарядных бластеров, позволяет им превосходно вести агрессивный бой против других пехотных подразделений.
TEXT_TOOLTIP_EVO_TROOPER_COMPANY,Компания: 18x EVO Trooper
TEXT_TOOLTIP_EVO_TROOPER_COMPANY_WEAP1,9 легких многократных бластеров: 5 / 1,0 с / 240 м.
TEXT_TOOLTIP_EVO_TROOPER_COMPANY_WEAP2,6 тяжелых многозарядных пулеметов: 5/1,0 с/280 м
TEXT_TOOLTIP_EVO_TROOPER_COMPANY_WEAP3,3 бластерных карабина: 3 / 1,25 с / 220 м
TEXT_TOOLTIP_EVO_TROOPER_COMPANY_WEAP4,3 огненных гранаты: 1/15,0 с/200 м
TEXT_TOOLTIP_EVO_TROOPER_HEALTH,Здоровье: 32
TEXT_TOOLTIP_EVO_TROOPER_MOVE,Скорость: 1,1
TEXT_TOOLTIP_EVO_TROOPER_SGT_HEALTH,Здоровье: 38
TEXT_TOOLTIP_EVO_TROOPER_SQUAD,Отряд: 6 солдат EVO
TEXT_TOOLTIP_EVO_TROOPER_SQUAD_WEAP1,3 легких повторяющихся бластера: 5 / 1,0 с / 240 м.
TEXT_TOOLTIP_EVO_TROOPER_SQUAD_WEAP2,2 тяжелых многозарядных пулемета: 5 / 1,0 с / 280 м
TEXT_TOOLTIP_EVO_TROOPER_SQUAD_WEAP3,1x бластерный карабин: 3/1,25 с/220 м
TEXT_TOOLTIP_EVO_TROOPER_SQUAD_WEAP4,1x Огненная граната: 1/15,0 с/200 м
TEXT_TOOLTIP_EVO_TROOPER_WEAP1,1 многозарядный бластер Т-21: 5 / 1,0 с / 240 м.
TEXT_TOOLTIP_EVO_TROOPER_WEAP2,1 гранатомет FA-3: 5/1,0 с/280 м
TEXT_TOOLTIP_EVO_TROOPER_WEAP3,1x бластерный карабин E11: 3/1,25 с/220 м
TEXT_TOOLTIP_EVO_TROOPER_WEAP4,1x Огненная граната: 1/15,0 с/200 м
TEXT_TOOLTIP_EWEB_TROOPER,Мощная огневая установка из тяжелых многозарядных бластерных пушек, обслуживаемая расчетом. Для развертывания и использования требуется время, поэтому он остается открытым для контратаки.
TEXT_TOOLTIP_EWEB_TROOPER_COMPANY,Компания: 4x E-Web Crew
TEXT_TOOLTIP_EWEB_TROOPER_HEALTH,Здоровье: 80
TEXT_TOOLTIP_EWEB_TROOPER_MOVE,Скорость: 0,75
TEXT_TOOLTIP_EWEB_TROOPER_WEAP1,1 легкая бластерная пушка ИИ: 8 / 1,0 с / 240 м
TEXT_TOOLTIP_EWING_RESEARCH,Завершение этого варианта исследования модернизирует E-wing/A, дополняющее модель E-wing/B, улучшая ее лазерные пушки.
TEXT_TOOLTIP_EX_F,EX-F — имперский военный корабль, использовавшийся в качестве испытательного стенда для новых технологий артиллерийского вооружения и двигателей. Это была часть Чёрного флота, захваченная инопланетянкой Йеветой в конце 4 ПБЯ. Переименованная ими в «Славу Йеветы», она в конечном итоге была возвращена Осколку Империи в 17 ПБЯ и переименована в «Распутник».
TEXT_TOOLTIP_EX_F_HULL,Корпус: 27000
TEXT_TOOLTIP_EX_F_MOVE,Скорость: 3,5 | Ускорение: 0,1 | Поворот: 0,15
TEXT_TOOLTIP_EX_F_SHIELD,Щиты: 42000 /
TEXT_TOOLTIP_EX_F_SQUADRON,Истребители: 2/4 | Бомбардировщики: 1 / 1
TEXT_TOOLTIP_EX_F_WEAP1,13 тяжелых двойных турболазеров: 2/5,0 с/8,0 км
TEXT_TOOLTIP_EX_F_WEAP2,16 легких турболазеров: 2 / 0,5 с / 6,0 км
TEXT_TOOLTIP_EX_F_WEAP3,12 тяжелых четырехионных пушек: 2/5,0 с/8,0 км
TEXT_TOOLTIP_EXECUTOR,Командный корабль необычайной величины, эквивалентный целому флоту обычных кораблей. Это самый распространенный звездный дредноут на службе Империи, чрезвычайно хорошо вооруженный даже среди своих аналогов. Его единственная заметная уязвимость — это массированная атака истребителей, и эта слабость легко устраняется оперативной группой сопровождения.
TEXT_TOOLTIP_EXECUTOR_HULL,Корпус: 84000
TEXT_TOOLTIP_EXECUTOR_HULL_FS_1,Корпус: 10500
TEXT_TOOLTIP_EXECUTOR_HULL_FS_2,Корпус: 36750
TEXT_TOOLTIP_EXECUTOR_HULL_FS_3,Корпус: 50400
TEXT_TOOLTIP_EXECUTOR_HULL_FS_4,Корпус: 53550
TEXT_TOOLTIP_EXECUTOR_KNIGHTHAMMER,«Палач», начавший свою службу при Делвардусе и власти Эриаду, «Рыцарский Молот» был переименован в «Ночной Молот» Натаси Даалой, которая конфисковала его вместе с другими владениями военачальников после объединения Империи на маяке Цосс, убив главных имперских военачальников. Он был уникален тем, что имел черную стелс-броню, которая, хотя и не являлась маскировочным устройством, делала его практически невозможным для отслеживания.
TEXT_TOOLTIP_EXECUTOR_LUSANKYA_NR_WEAP1,44 тяжелых турболазера: 2/2,0 с/9,5 км
TEXT_TOOLTIP_EXECUTOR_LUSANKYA_NR_WEAP6,6 тяжелых счетверенных лазерных пушек: 2 / 0,5 с / 7,0 км
TEXT_TOOLTIP_EXECUTOR_MOVE,Скорость: 1,75 | Ускорение: 0,1 | Поворот: 0,1
TEXT_TOOLTIP_EXECUTOR_MOVE_FS_1,Скорость: 0 | Ускорение: 0 | Поворот: 0
TEXT_TOOLTIP_EXECUTOR_MOVE_FS_2,Скорость: 0 | Ускорение: 0 | Поворот: 0
TEXT_TOOLTIP_EXECUTOR_MOVE_FS_3,Скорость: 0,25 | Ускорение: 0,005 | Поворот: 0,025
TEXT_TOOLTIP_EXECUTOR_MOVE_FS_4,Скорость: 0,5 | Ускорение: 0,01 | Поворот: 0,05
TEXT_TOOLTIP_EXECUTOR_SHIELD,Щиты: 60000 /
TEXT_TOOLTIP_EXECUTOR_SHIELD_FS_1,Щиты: 6000 /
TEXT_TOOLTIP_EXECUTOR_SHIELD_FS_2,Щиты: 7500 /
TEXT_TOOLTIP_EXECUTOR_SHIELD_FS_3,Щиты: 12000 /
TEXT_TOOLTIP_EXECUTOR_SHIELD_FS_4,Щиты: 20000 /
TEXT_TOOLTIP_EXECUTOR_SQUADRON,Истребители: 6/20 | Бомбардировщики: 2 / 8
TEXT_TOOLTIP_EXECUTOR_WEAP1,50 тяжелых турболазеров: 2/2,0 с/9,5 км
TEXT_TOOLTIP_EXECUTOR_WEAP2,50 средних турболазеров: 2/2,0 с/8,5 км
TEXT_TOOLTIP_EXECUTOR_WEAP3,25 тяжелых двойных ионных пушек: 2/2,0 с/9,5 км
TEXT_TOOLTIP_EXECUTOR_WEAP4,20 легких счетверенных лазерных пушек: 2 / 0,8 с / 6,0 км
TEXT_TOOLTIP_EXECUTOR_WEAP5,10 штурмовых ударных ракет: 2 / 1,2 с / 9,5 км
TEXT_TOOLTIP_EXOV,Капитан имперских штурмовиков, участвовавший в битве при Рестуссе, Эксов руководил и координировал отряды штурмовиков в рейдах на линии снабжения повстанцев, а также возвращал припасы и материалы, захваченные повстанцами.
TEXT_TOOLTIP_EXOV_HEALTH,Здоровье: 130
TEXT_TOOLTIP_EXOV_MOVE,Скорость: 1,1
TEXT_TOOLTIP_EXOV_WEAP1,1x бластерный карабин E11: 3/1,25 с/220 м
TEXT_TOOLTIP_FAARL,«Дитя-Завоеватель», по слухам, благородный отпрыск Корлингов, начинал с жестокого, но мелкого пиратства. Но он быстро обнаружил уязвимость примитивных миров Парфовского скопления и создал империю рабов, основанную в башне древнего военачальника. Пираты и наемники стекались к его жестокому режиму, чтобы командовать его порабощенными солдатами, настолько, что вокруг крепости Баарлос вырос небольшой город. Несмотря на то, что Фаарл является хитрым воином, он предпочитает управлять захваченным флотом со своей базы в окружении личных артистов и своей обширной библиотеки.
TEXT_TOOLTIP_FAARL_SQUADRON,Бойцы: 2 / 0
TEXT_TOOLTIP_FABLE_ASTIN,Чувствительная к Силе женщина, родившаяся во время конца Республики, Фэйбл Эстин была лидером группы проникновения Харриеров Альянса повстанцев. Во время визита в Трулалис она увидела выступление Джаалиба Брандла и, узнав, что его отцом был бывший инквизитор Адальрик Брандл, разыскала его, чтобы он обучил ее. Адальрик согласился, и во время его сурового обучения Фейбл и Джаалиб полюбили друг друга. Фэйбл покинула Трулалис после нападения Инквизитора, но позже она встретится с Джаалибом, полностью посвятив себя ему и его отцу, несмотря на свои внутренние сомнения.
TEXT_TOOLTIP_FABLE_ASTIN_HEALTH,Здоровье: 160
TEXT_TOOLTIP_FABLE_ASTIN_MOVE,Скорость: 1,3
TEXT_TOOLTIP_FABLE_ASTIN_WEAP1,1 световой меч: 1/0,2 с/1 м
TEXT_TOOLTIP_FACTION_SELECTION_01,Новая Республика
TEXT_TOOLTIP_FACTION_SELECTION_02,Галактическая Империя
TEXT_TOOLTIP_FACTION_SELECTION_03,Империя Руки
TEXT_TOOLTIP_FACTION_SELECTION_04,Выравнивание Пентазвезды
TEXT_TOOLTIP_FACTION_SELECTION_05,Администрация Эриаду
TEXT_TOOLTIP_FACTION_SELECTION_06,Большой Малдруд
TEXT_TOOLTIP_FACTION_SELECTION_07,Империя Зинджа
TEXT_TOOLTIP_FACTION_SELECTION_08,Управление корпоративного сектора
TEXT_TOOLTIP_FACTION_SELECTION_09,Душхан Лига
TEXT_TOOLTIP_FACTION_SELECTION_10,Хейпский консорциум
TEXT_TOOLTIP_FACTION_SELECTION_11,Чиссское господство
TEXT_TOOLTIP_FACTION_SELECTION_12,Кореллианцы
TEXT_TOOLTIP_FACTION_SELECTION_13,Картели хаттов
TEXT_TOOLTIP_FACTION_SELECTION_14,Киллик Ульи
TEXT_TOOLTIP_FACTION_SELECTION_15,SSI винт Империум
TEXT_TOOLTIP_FACTION_SELECTION_16,Юужань-вонги
TEXT_TOOLTIP_FACTION_SELECTION_17,Малые военачальники
TEXT_TOOLTIP_FASSER,Дакка Фассер был лейтенантом полиции безопасности, дислоцированной на Этти IV. Она отвечала за арест Джахана Кросса за убийство Да'лиса Старка, но отказалась нести ответственность, когда он сбежал.
TEXT_TOOLTIP_FAUGHN,Контрабандист, который работал заместителем Сэмюэля Томаса Гиллеспи, а затем работал на Тэлон Каррде.
TEXT_TOOLTIP_FAWN,Женщина-имперский лейтенант, которая не смогла подняться очень высоко или быстро в строю и в итоге получила назначение на тупиковый пост в качестве имперского связного на станции Старлайт. Со временем Фаун разочаровалась, осознав, что Империя - это не все, во что ее заставила поверить Группа подростков, и в конечном итоге потеряла веру в Императора и его Империю. Она начала брать огромные взятки от владельца станции Таландро Старлайта, чтобы игнорировать его значительный черный рынок на станции.
TEXT_TOOLTIP_FEENA_DASTA,После того, как здоровье ее отца ухудшилось, Фина заняла свое место в Имперском правящем совете и стала могущественным голосом разума. Она была тайно похищена и заменена клоном Черным Солнцем, но в конечном итоге была освобождена Киром Каносом и ее подругой детства Мирит Синн и вернулась на свою должность представителя своего отца.
TEXT_TOOLTIP_FENN_SHYSA_HEALTH,Здоровье: 150
TEXT_TOOLTIP_FEROB,Имперский капитан, служивший под командованием гранд-адмирала Трауна в Неизвестных регионах на борту «Железного кулака» класса «Победа». Фероб, несмотря на его отвращение к нелюдям, одновременно уважал и боялся Трауна, а также ужасный гнев гранд-адмирала. Под командованием Трауна Фероб обстрелял непокорную деревню на планете, обозначенной как UR41-284, оставив нетронутым только музейный район, чтобы удовлетворить одержимость своего начальника.
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_CSA1,Отряд полиции тяжелой безопасности: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_EMPIRE1,Отряд разведчиков-карабинеров: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_EMPIRE2,Отряд разведчиков-коммандос: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_EMPIRE3,Отряд разведчиков-снайперов: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_EOTH1,Отряд штурмовиков-коммандос: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_ERIADU1,Отряд армейских коммандос: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_PENTASTAR1,Отряд армейских коммандос: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_REBEL1,Штурмовой отряд лазутчиков: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_REBEL2,Снайперский отряд разведчиков: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_TERADOC1,Штурмовой отряд флотских коммандос: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_TERADOC2,Снайперский отряд флотских коммандос: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_WARLORD1,Отряд армейских коммандос: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_ZSINJ1,Отряд солдат ЭВО: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_COMMANDO_ZSINJ2,Отряд Раптор-Коммандос: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_GALNEY,Небольшой аванпост Дома Гални, обеспечивающий противопехотные отделения.
TEXT_TOOLTIP_FIELD_BASE_GALNEY1,Отряд стражи дома Гални: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_MALURI,Небольшой аванпост Дома Малури, обеспечивающий поддержку пехотных отделений, способных лечить и ремонтировать.
TEXT_TOOLTIP_FIELD_BASE_MALURI1,Отряд медиков стражи дома Малури: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MALURI2,Отряд стражи Дома Малури: 1 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_CSA1,Отряд полиции безопасности: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_CSA2,Отряд боевых дроидов B1: 4 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_EMPIRE1,Отряд штурмовиков-карабинеров: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_EMPIRE2,Отряд штурмовиков-стрелков: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_EOTH1,Отряд ручных фаланг: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_EOTH2,Отряд чиссов-телохранителей: 3 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_ERIADU1,Армейский противопехотный отряд: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_ERIADU2,Армейский отряд противотранспортных средств: 2 / 10
TEXT_TOOLTIP_FIELD_BASE_MILITARY_PENTASTAR_HEALTH,Здоровье: 500
TEXT_TOOLTIP_FIELD_BASE_MILITARY_PENTASTAR1,Отряд стражей-защитников: 2 / 10
