TEXT_2_WARPOD_SQUADRON,#2 Эскадрилья боевых капсул
TEXT_TOOLTIP_KOMRK_GUNSHIP_HERO_SHIELD,Щиты: 320 /
TEXT_TOOLTIP_KOMRK_GUNSHIP_HULL,Корпус: 225
TEXT_TOOLTIP_KOMRK_GUNSHIP_MOVE,Скорость: 6,3 | Ускорение: 0,25 | Терн: 5.0
TEXT_TOOLTIP_KOMRK_GUNSHIP_SHIELD,Щиты: 160 /
TEXT_TOOLTIP_KOMRK_GUNSHIP_SQUADRON,Эскадрилья: 4 истребителя Ком'рк
TEXT_TOOLTIP_KOMRK_GUNSHIP_WEAP1,2 лазерные пушки тяжелого истребителя: 6 / 2,0 с / 2,0 км
TEXT_TOOLTIP_KOMRK_P1_HEALTH,Здоровье: 185
TEXT_TOOLTIP_KOMRK_P1_MOVE,Скорость: 1,1
TEXT_TOOLTIP_KOMRK_P2_HEALTH,Здоровье: 195
TEXT_TOOLTIP_KOMRK_P2_MOVE,Скорость: 1,3
TEXT_TOOLTIP_KOMRK_SHIELD,Щиты: 25 /
TEXT_TOOLTIP_KOMRK_WEAP1,1 бластерная винтовка DC-17m: 5/2,0 с/240 м
TEXT_TOOLTIP_KOMRK_WEAP2,1 гранатомет DC-17m: 1/15,0 с/200 м
TEXT_TOOLTIP_KOMRK_WEAP3,1 наручная ракета: 1/10,0 с/220 м
TEXT_TOOLTIP_KOSSAK,Хорошо оснащенный легкий фрегат сопровождения, заказанный хаттами для борьбы с пиратами и межкаджидским соперничеством. Он носит славное имя Коссака Хатта, Пожирателя деспотов, победившего печально известного Зима еще до образования Республики.
TEXT_TOOLTIP_KOSSAK_HULL,Корпус: 1850 г.
TEXT_TOOLTIP_KOSSAK_MOVE,Скорость: 4,2 | Ускорение: 0,15 | Поворот: 0,35
TEXT_TOOLTIP_KOSSAK_SHIELD,Щиты: 1500 /
TEXT_TOOLTIP_KOSSAK_SQUADRON,Бойцы: 0,5/0,5
TEXT_TOOLTIP_KOSSAK_WEAP1,2 средних турболазера: 2/1,67 с/6,1 км
TEXT_TOOLTIP_KOSSAK_WEAP2,2 средние двойные ионные пушки: 2/5,0 с/6,1 км
TEXT_TOOLTIP_KOSSAK_WEAP3,2 легкие двойные лазерные пушки: 2/0,83 с/3,6 км
TEXT_TOOLTIP_KRAYT_GUNSHIP,Истребитель «МандалМоторс», заказанный Джаббой Хаттом как командный корабль и подарок для его самых ценных помощников. Созданный как последний из серии истребителей «масштабных убийц», боевой корабль M22-T Krayt изначально представлял собой корабль специального заказа, демонстрирующий настраиваемые панели и пространство для двух пассажиров. «Крайт» несет четыре лазерные пушки, турель наводчика, которая может быть вооружена лазерными или ионными пушками, и пусковую установку ударных ракет. Эта тяжелая огневая мощь делает «Крайт» эффективным боевым кораблем, но слишком дорогим для массового производства, что ограничивает его присутствие богатыми покровителями.
TEXT_TOOLTIP_KUARI_PRINCESS_LINER,Один из самых известных гражданских образцов Мон-Каламари, успех которого стал причиной разработки похожей на вид, но гораздо более крупной серии Liberty. Легко вооружен для защиты от пиратских угроз, имеет внушительное количество вспомогательных и вспомогательных средств.
TEXT_TOOLTIP_KUARI_PRINCESS_LINER_HULL,Корпус: 1320
TEXT_TOOLTIP_KUARI_PRINCESS_LINER_MOVE,Скорость: 3,15 | Ускорение: 0,15 | Поворот: 0,4
TEXT_TOOLTIP_KUARI_PRINCESS_LINER_SHIELD,Щиты: 1500 /
TEXT_TOOLTIP_KUARI_PRINCESS_LINER_SQUADRON,Бойцы: 1 / 0
TEXT_TOOLTIP_KUARI_PRINCESS_LINER_TENDER,Флотский тендер: 50 / 2,0 с / 2,0 км
TEXT_TOOLTIP_KUARI_PRINCESS_LINER_WEAP1,4 средних турболазера: 2/4,0 с/6,1 км
TEXT_TOOLTIP_LAAT,Низковысотный штурмовой транспорт/пехота — тяжелый боевой корабль, первоначально разработанный для Великой армии Республики. Он используется для быстрой транспортировки пехоты по полю боя и оказания ей значительной огневой поддержки. Он хорошо универсален и полезен против любой цели, но уязвим для противовоздушных огневых точек.
TEXT_TOOLTIP_LAAT_COMPANY,Компания: 1 боевой корабль LAAT/i
TEXT_TOOLTIP_LAAT_HEALTH,Здоровье: 300
TEXT_TOOLTIP_LAAT_MOD,Модифицированная установка LAAT, используемая имперскими силами обороны. Заменяет чувствительные композитные балки на более простое в обслуживании бластерное вооружение и изменяет защиту, чтобы она была более приспособлена к защите от повстанческой пехоты.
TEXT_TOOLTIP_LAAT_MOD_WEAP2,4 AV-бластерные пушки: 1/2,0 с/400 м
TEXT_TOOLTIP_LAAT_MOVE,Скорость: 5,0 | Терн: 4.0
TEXT_TOOLTIP_LAAT_SHIELD,Щиты: 50 /
TEXT_TOOLTIP_LAAT_WEAP1,3 бластерные пушки ИИ: 5/2,5 с/400 м
TEXT_TOOLTIP_LAAT_WEAP2,4 AV-лучевые пушки: 12/5,0 с/240 м
TEXT_TOOLTIP_LAAT_WEAP3,2 ракеты «Протон»: 1/10,0 с/400 м
TEXT_TOOLTIP_LAAT_WEAP4,1 зенитная ракета : 1/15,0 с/400 м
TEXT_TOOLTIP_LABOUR_CAMP_GARRISON,Полицейский отряд карабинеров: 1 / 0
TEXT_TOOLTIP_LANCER,Медленный, но опасный противоистребительный корабль сопровождения. Хотя технически этот класс появился всего через месяц после Войн клонов, популярность этого класса не выросла до тех пор, пока не будет уничтожена первая Звезда Смерти. Илон Дрез предложил использовать корабль для проверки уязвимых станций и более крупных судов, что привело к тому, что корабль стал значительно более распространенным даже во время Вонгской войны.
TEXT_TOOLTIP_LANCER_CW,Корабль, подтверждающий концепцию, предназначенный для защиты станций и более медленных десантных кораблей от роев истребителей. Несмотря на хорошее вооружение, множество проблем с прорезыванием зубов и конструктивных недостатков приведут к тому, что этот класс потерпит неудачу еще через несколько десятилетий, когда обновленная версия будет рекламироваться как корпоративное решение военной и политической проблемы. Эффективен против истребителей и другой малой авиации.
TEXT_TOOLTIP_LANCER_CW_PD,Точечная защита: 1 / 0,14 с / 1,25 км.
TEXT_TOOLTIP_LANCER_CW_WEAP1,6 легких двойных скоростных лазерных пушек: 6 / 1,5 с / 3,1 км
TEXT_TOOLTIP_LANCER_HULL,Корпус: 900
TEXT_TOOLTIP_LANCER_MOVE,Скорость: 2,45 | Ускорение: 0,175 | Поворот: 0,55
TEXT_TOOLTIP_LANCER_PD,Точечная защита: 1 / 0,12 с / 1,25 км.
TEXT_TOOLTIP_LANCER_PROTOTYPE_MOVE,Скорость: 2,1 | Ускорение: 0,175 | Поворот: 0,55
TEXT_TOOLTIP_LANCER_SHIELD,Щиты: 900 /
TEXT_TOOLTIP_LANCER_WEAP1,6 легких счетверенных скоростных лазерных пушек: 6 / 1,5 с / 3,1 км
TEXT_TOOLTIP_LD12_DEFENSE_SATELLITE_PD,Точечная защита: 1 / 0,99 с / 2,75 км.
TEXT_TOOLTIP_LD12_DEFENSE_SATELLITE_WEAP1,2 тяжелые скоростные лазерные пушки: 6 / 0,83 с / 5,0 км
TEXT_TOOLTIP_LIBERTY_LINER,Подкласс более крупного класса кораблей Мон-Каламари класса MC80, корабли линии Мон-Каламари Либерти были гражданскими по своему происхождению. Эти корабли использовались Мон-Каламари в качестве звездных лайнеров для путешествий между своим родным миром, своими колониями, а иногда и по всей галактике. На большом корабле все еще имелось некоторое вооружение и средства защиты из-за необходимости защиты от постоянно существующей опасности пиратов.
TEXT_TOOLTIP_LIBERTY_LINER_HULL,Корпус: 2600
TEXT_TOOLTIP_LIBERTY_LINER_MOVE,Скорость: 3,15 | Ускорение: 0,15 | Поворот: 0,45
TEXT_TOOLTIP_LIBERTY_LINER_SHIELD,Щиты: 3000 /
TEXT_TOOLTIP_LIBERTY_LINER_SQUADRON,Истребители: 1 / 1 | Бомбардировщики: 1 / 1
TEXT_TOOLTIP_LIBERTY_LINER_WEAP1,4 легких турболазера: 2/2,0 с/5,2 км
TEXT_TOOLTIP_LIBERTY_LINER_WEAP2,8 средних лазерных пушек: 2/0,83 с/4,2 км
TEXT_TOOLTIP_LIGHT_MERCENARY_COMPANY_WEAP1,40 пулеметных винтовок: 1/1,0 с/240 м
TEXT_TOOLTIP_LIGHT_MERCENARY_COMPANY_WEAP2,4 огнемета: 10/5,5 с/220 м
TEXT_TOOLTIP_LIGHT_MERCENARY_COMPANY_WEAP3,4 тяжелые зенитные ракетные установки: 1/9,0 с/320 м
TEXT_TOOLTIP_LIGHT_MERCENARY_COMPANY_WEAP4,8 сотрясающих гранат: 1/15,0 с/200 м
TEXT_TOOLTIP_LIGHT_MERCENARY_HEALTH,Здоровье: 15
TEXT_TOOLTIP_LIGHT_MERCENARY_MOVE,Скорость: 1,1
TEXT_TOOLTIP_LIGHT_MERCENARY_OFFICER_HEALTH,Здоровье: 18
TEXT_TOOLTIP_LIGHT_MERCENARY_SQUAD_WEAP1,10 пулеметных винтовок: 1/1,0 с/240 м
TEXT_TOOLTIP_LIGHT_MERCENARY_SQUAD_WEAP2,1x Огнемет: 10/5,5 с/220 м
TEXT_TOOLTIP_LIGHT_MERCENARY_SQUAD_WEAP3,1 тяжелая зенитная ракетная установка: 1/9,0 с/320 м
TEXT_TOOLTIP_LIGHT_MERCENARY_SQUAD_WEAP4,2x Шоковая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_LIGHT_MERCENARY_WEAP1,1 пулеметная винтовка Запределья: 1 / 1,0 с / 240 м
TEXT_TOOLTIP_LIGHT_MERCENARY_WEAP2,1 огненный карабин C-22: 10/5,5 с/220 м
TEXT_TOOLTIP_LIGHT_MERCENARY_WEAP3,1 ракетная установка SLM : 1/9,0 с/320 м
TEXT_TOOLTIP_LIGHT_MERCENARY_WEAP4,1 сотрясающая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_LOOSE_CANNON,Пираты Свободных Пушек — небольшая организация, базирующаяся в секторе Тамарин. Вместо того, чтобы просто ждать в засаде на вероятных маршрутах, «Свободные пушки» будут заманивать вероятные цели в отдаленные районы обещаниями сомнительных деловых возможностей.
TEXT_TOOLTIP_LOOSE_CANNON_SQUADRON,Бойцы: 0,5/0
TEXT_TOOLTIP_LORKA_GEDYC,Мандалорский воин клана Гедик, Лорка Гедик, был членом Дозора Смерти, которому удалось подняться по служебной лестнице и стать его лидером примерно в то время, когда была сформирована Галактическая Империя. Гедик выведет группу из укрытия и вступит в прямой союз с Империей. Дозор Смерти продолжит оказывать помощь Империи в создании и поддержании имперского гарнизона на Мандалоре в непосредственной близости от столицы Келдабе.
TEXT_TOOLTIP_LORKA_GEDYC_HEALTH,Здоровье: 120
TEXT_TOOLTIP_LORKA_GEDYC_MOVE,Скорость: 1,1
TEXT_TOOLTIP_LORKA_GEDYC_WEAP1,1x многозарядный бластер DLT-20A: 5/1,0 с/240 м
TEXT_TOOLTIP_LORKA_GEDYC_WEAP2,1x Термическая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_LUCREHULK,Конфигурация военного времени Lucrehulk, сохраняющая такую ​​же большую грузоподъемность истребителей, как и переоборудованные грузовые корабли. Модификации корпуса повышают долговечность и позволяют иметь достаточное вооружение для самозащиты и потенциального поражения нескольких судов противника. Постоянное наличие истребительного превосходства как по своим противоистребительным возможностям, так и по составу.
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER,LH-3210 Cargo Haulers вступили на военную службу даже без тех модернизаций, которые были у Q-кораблей, которые, как известно, использовались на Набу. Огромные размеры, отключенные ограничители щитов и рой истребителей, которые он может нести, — единственная угроза, исходящая от этого корабля.
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_HULL,Корпус: 20400
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_SHIELD,Щиты: 15000 /
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_WEAP1,14 легких счетверенных лазерных пушек: 2/2,50 с/4,1 км
TEXT_TOOLTIP_LUCREHULK_BULK_CRUISER_WEAP2,7 легких лазерных пушек: 2 / 0,13 с / 4,1 км
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER,Радикальная модификация ядра корабля, превращающая его в независимый военный корабль. Устраняется любое подобие соединения с кольцом за счет установки подходящего двигателя вместо минимальной мощности гравитации базовой конструкции. Обманчиво быстрый и довольно прочный, но не представляет большой угрозы для более крупных судов из-за все еще ограниченного вооружения.
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_HULL,Корпус: 3924
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_MOVE,Скорость: 4,2 | Ускорение: 0,15 | Поворот: 0,3
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_SHIELD,Щиты: 3500 /
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_SQUADRON,Истребители: 2/4 | Бомбардировщики: 1 / 2
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_WEAP1,2 тяжелых турболазера: 2/2,5 с/7,2 км
TEXT_TOOLTIP_LUCREHULK_CORE_DESTROYER_WEAP2,7 легких счетверенных лазерных пушек: 2 / 0,5 с / 3,7 км
TEXT_TOOLTIP_LUCREHULK_HULL,Корпус: 23120
TEXT_TOOLTIP_LUCREHULK_MOVE,Скорость: 2,1 | Ускорение: 0,05 | Поворот: 0,15
TEXT_TOOLTIP_LUCREHULK_SHIELD,Щиты: 25000 /
TEXT_TOOLTIP_LUCREHULK_SQUADRON,Истребители: 10/32 | Бомбардировщики: 6/24
TEXT_TOOLTIP_LUCREHULK_TRANSPORT,Классический современный Люкрехалк. LH-3210 Cargo Haulers — это обычные грузовые и торговые суда с приличной модульностью. Бесчисленные варианты конструкции, основанные на этом грузовом транспортном средстве, попадут на военную службу в последние годы существования Галактической Республики и за ее пределами.
TEXT_TOOLTIP_LUCREHULK_TRANSPORT_SHIELD,Щиты: 10000 /
TEXT_TOOLTIP_LUCREHULK_TRANSPORT_SQUADRON,Истребители: 3 / 10 | Бомбардировщики: 1 / 4
TEXT_TOOLTIP_LUCREHULK_WEAP1,15 средних турболазеров: 2/3,0 с/6,6 км
TEXT_TOOLTIP_LUCREHULK_WEAP2,26 тяжелых двойных лазерных пушек: 2/0,5 с/5,1 км
TEXT_TOOLTIP_LUCREHULK_WEAP3,18 средних счетверенных лазерных пушек: 2/0,5 с/4,6 км
TEXT_TOOLTIP_LUCREHULKAUXILIARY,Модель Lucrehulk, созданная путем оснащения грузового корабля выдвижными креплениями для оружия. Он имеет более слабую огневую мощь и худшую броню по сравнению со своими более военизированными собратьями.
TEXT_TOOLTIP_LUCREHULKAUXILIARY_HULL,Корпус: 20400
TEXT_TOOLTIP_LUCREHULKAUXILIARY_MOVE,Скорость: 2,1 | Ускорение: 0,05 | Поворот: 0,15
TEXT_TOOLTIP_LUCREHULKAUXILIARY_SHIELD,Щиты: 25000 /
TEXT_TOOLTIP_LUCREHULKAUXILIARY_SQUADRON,Истребители: 10/32 | Бомбардировщики: 6/24
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP1,1 средний турболазер: 2/3,33 с/6,6 км
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP2,4 тяжелые лазерные пушки: 2/0,42 с/5,1 км
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP3,2 средние счетверенные лазерные пушки: 2/0,48 с/4,6 км
TEXT_TOOLTIP_LUCREHULKAUXILIARY_WEAP4,14 средних счетверенных лазерных пушек: 2/1,67 с/4,6 км
TEXT_TOOLTIP_LUXURY_BARGE,Большой репульсорный подъемник, спроектированный как роскошное судно компанией «Убриккиан Индастриз», часто предпочитаемый богатыми хаттами. Стандартная парусная баржа, использующая огромные убирающиеся паруса, способные ловить ветер для неторопливых путешествий, задумана как гражданский продукт, способный перевозить большое количество гостей и не имеющий брони или оружия. Модификации, предназначенные для защиты от нападения, увеличивают его броню, придавая ему достаточную долговечность, а установленные переносные тяжелые бластеры и мощное палубное орудие позволяют ему отражать вторжения на владельца баржи.
TEXT_TOOLTIP_LUXURY_BARGE_COMPANY,Компания: 1 парусная баржа класса люкс.
TEXT_TOOLTIP_LUXURY_BARGE_HEALTH,Здоровье: 400
TEXT_TOOLTIP_LUXURY_BARGE_MOVE,Скорость: 1,25 | Терн: 1.0
TEXT_TOOLTIP_LUXURY_BARGE_WEAP1,1x AV-бластерная пушка: 2/2,0 с/400 м
TEXT_TOOLTIP_LUXURY_BARGE_WEAP2,20 легких многозарядных бластеров: 5 / 1,0 с / 240 м
TEXT_TOOLTIP_MAELSTROM,Впечатляющий линейный крейсер «Водоворот» — крупнейший прото-звездный разрушитель, разработанный KDY для ВМС Республики в начале Войн клонов. Maelstrom оптимизирован для командования флотом и служит в качестве авианосца и планетарной осадной платформы благодаря своей мощной защите и вооружению. Несмотря на эти возможности, Водовороты оказались непопулярными из-за огромного количества ресурсов, необходимых для их обслуживания, и вскоре после появления были постепенно прекращены в пользу более инновационных классов.
TEXT_TOOLTIP_MAELSTROM_HULL,Корпус: 8618
TEXT_TOOLTIP_MAELSTROM_MOVE,Скорость: 3,85 | Ускорение: 0,05 | Поворот: 0,1
TEXT_TOOLTIP_MAELSTROM_SHIELD,Щиты: 8750 /
TEXT_TOOLTIP_MAELSTROM_SQUADRON,Истребители: 2,5/5,5 | Бомбардировщики: 1 / 3
TEXT_TOOLTIP_MAELSTROM_WEAP1,10 тяжелых двойных турболазеров: 2/5,0 с/7,4 км
TEXT_TOOLTIP_MAELSTROM_WEAP2,5 тяжелых двойных ионных пушек: 2/5,0 с/7,4 км
TEXT_TOOLTIP_MAELSTROM_WEAP3,4 средние ионные пушки: 2/2,0 с/6,4 км
TEXT_TOOLTIP_MAELSTROM_WEAP4,2 штурмовые ударные ракеты: 7/17,5 с/7,4 км
TEXT_TOOLTIP_MAELSTROM_WEAP5,6 легких протонных торпед: 5/10,0 с/5,4 км
TEXT_TOOLTIP_MAL,Артиллерийская платформа открытого рынка производства Merr-Sonn Munitions, популярная среди местных и криминальных группировок, а иногда и среди более крупных сил. Имеет сложную складную башню, способную использовать несколько типов ракетного вооружения, а также щиты и приличную подвижность. Несмотря на то, что платформа устарела, ее популярность в борьбе с преступностью во время Галактической гражданской войны резко возросла.
TEXT_TOOLTIP_MAL_COMPANY,Компания: 1x М.А.Л.
TEXT_TOOLTIP_MAL_HEALTH,Здоровье: 150
TEXT_TOOLTIP_MAL_MOVE,Скорость: 1,5 | Терн: 4.0
TEXT_TOOLTIP_MAL_SHIELD,Щиты: 50 /
TEXT_TOOLTIP_MAL_WEAP1,1 ракета «Протон»: 8/14,8 с/1440 м
TEXT_TOOLTIP_MAL_WEAP2,5 легких ударных ракет: 1/10,0 с/400 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO,Мандалорская пехота вооружена для нападения на врага с неба, используя реактивные ранцы и столько оружия, сколько сможет на них уместить. Они на голову выше стандартных мандалорских солдат и являются гордыми воинами, способными сеять хаос среди вражеских формирований при правильном использовании.
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_CAPTAIN_HEALTH,Здоровье: 33
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY,Рота: 18 мандалорских коммандос
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP1,18 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP2,18 реактивных протонных ракет : 1/10,0 с/320 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP3,15 наручных ракет: 1/10,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_COMPANY_WEAP4,3 наручных огнемета: 10/10,5 с/220 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_HEALTH,Здоровье: 29
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_MOVE,Скорость: 1,3
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD,Отряд: 6 мандалорских коммандос
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP1,6 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP2,6 реактивных протонных ракет : 1/10,0 с/320 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP3,5 наручных ракет: 1/10,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_SQUAD_WEAP4,1 наручный огнемет: 10/10,5 с/220 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP1,1 карабин EE-3: 3/1,25 с/220 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP2,1 ракета «Протон» на реактивном ранце : 1/10,0 с/320 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP3,1 наручная ракета: 1/10,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_COMMANDO_WEAP4,1 наручный огнемет: 10/10,5 с/220 м
TEXT_TOOLTIP_MANDALORIAN_GROUP,Мандалорские группы: броня отряда будет различаться в зависимости от героев, присутствующих в бою.
TEXT_TOOLTIP_MANDALORIAN_GROUP_DEATH_WATCH,Мандалорская группа: Дозор смерти
TEXT_TOOLTIP_MANDALORIAN_GROUP_PROTECTORS,Мандалорская группа: Защитники
TEXT_TOOLTIP_MANDALORIAN_SOLDIER,Стандартные мандалорские воины, обычно состоящие из наемников или враждующих фракций Мандалора или его колоний. Эта пехота не оснащена реактивными ранцами, которые более специализированные коммандос используют в бою, но остаются грозными противниками против вражеской пехоты, использующей отечественное или рыночное оружие. Мандалорские солдаты способны удерживать оборону или продвигаться в бою с рвением воина, передаваемым из поколения в поколение их культуры.
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_CAPTAIN_HEALTH,Здоровье: 30
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY,Рота: 32 мандалорских солдата
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP1,28 бластерных винтовок: 1/1,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP2,4 легких повторяющихся бластера: 5/1,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP3,32 ракеты на запястье: 1/10,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_COMPANY_WEAP4,8 звуковых гранат: 1/15,0 с/200 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_HEALTH,Здоровье: 26
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_MOVE,Скорость: 1,0
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD,Отряд: 8 мандалорских солдат
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP1,7 бластерных винтовок: 1/1,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP2,1 легкий многократный бластер: 5/1,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP3,8 наручных ракет: 1/10,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_SQUAD_WEAP4,2 звуковых гранаты: 1/15,0 с/200 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP1,1x бластерная винтовка ГАЛААР-15: 1/1,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP2,1x многозарядный бластер DLT-20A: 5/1,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP3,1 наручная ракета: 1/10,0 с/240 м
TEXT_TOOLTIP_MANDALORIAN_SOLDIER_WEAP4,1 звуковая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_MANDATOR2,Второй дизайн в почтенной горбатой серии Mandator. Mandator-II представляет собой модернизированную версию корпуса Mandator-I, разработанного в военное время, без каких-либо ограничений, применимых к довоенным судам. Значительное увеличение мощности делает его первым членом семейства полноценных твердотельных накопителей.
TEXT_TOOLTIP_MANDATOR2_HULL,Корпус: 42240
TEXT_TOOLTIP_MANDATOR2_HULL_FS_3,Корпус: 28800
TEXT_TOOLTIP_MANDATOR2_HULL_FS_4,Корпус: 31680
TEXT_TOOLTIP_MANDATOR2_MOVE,Скорость: 1,4 | Ускорение: 0,1 | Поворот: 0,1
TEXT_TOOLTIP_MANDATOR2_MOVE_FS_3,Скорость: 0,25 | Ускорение: 0,005 | Поворот: 0,025
TEXT_TOOLTIP_MANDATOR2_MOVE_FS_4,Скорость: 0,5 | Ускорение: 0,01 | Поворот: 0,05
TEXT_TOOLTIP_MANDATOR2_SHIELD,Щиты: 42000 /
TEXT_TOOLTIP_MANDATOR2_SHIELD_FS_3,Щиты: 8400 /
TEXT_TOOLTIP_MANDATOR2_SHIELD_FS_4,Щиты: 14000 /
TEXT_TOOLTIP_MANDATOR2_SQUADRON,Истребители: 5 / 15 | Бомбардировщики: 2 / 6
TEXT_TOOLTIP_MANDATOR2_WEAP1,20 сверхтяжелых турболазеров: 2/5,0 с/9,2 км
TEXT_TOOLTIP_MANDATOR2_WEAP2,22 тяжелых двойных турболазера: 2/5,0 с/8,2 км
TEXT_TOOLTIP_MANDATOR2_WEAP3,14 средних двойных турболазеров: 2/0,99 с/7,2 км
TEXT_TOOLTIP_MANDATOR2_WEAP4,5 тяжелых четырехионных пушек: 2/5,0 с/8,2 км
TEXT_TOOLTIP_MANDATOR2_WEAP5,14 средних двойных ионных пушек: 2/0,99 с/7,2 км
TEXT_TOOLTIP_MANDATOR2_WEAP6,5 штурмовых ударных ракет: 5/12,5 с/8,2 км
TEXT_TOOLTIP_MANKVIM,Роевой истребитель с едва заметными щитами, разработанный Техносоюзом. Эта конструкция наиболее известна своей впечатляющей скоростью и получила распространение в Управлении корпоративного сектора и на гражданских рынках после Войн клонов. Его лучше всего использовать для перехвата бомбардировщиков противника.
TEXT_TOOLTIP_MARAUDER,Первоначально спроектированный Сиенаром как боевой корабль патрулирования и сопровождения судебных сил, этот проект был отклонен правительством Республики для покупки. Вместо этого Сиенар продал корпуса другим группам, включая Управление корпоративного сектора и различные независимые группы, где корабли часто оказывались в руках пиратов. Он хорошо подходит для поддержки других кораблей против крупных кораблей.
TEXT_TOOLTIP_MARAUDER_HULL,Корпус: 850
TEXT_TOOLTIP_MARAUDER_MISSILE,Переоборудование корвета класса «Мародер», произведенное Альянсом повстанцев после покупки украденных «Мародеров Корпоративного сектора» у контрабандистов. Лазерные пушки базы «Мародёр» были сняты, а размеры её двигателей уменьшены для размещения блоков ударных ракет в надежде создать эквивалент имперского крейсера «Бродсайд». Результат позволяет этому варианту «Мародера» обеспечивать разрушительные ракетные обстрелы уязвимых кораблей за счет скорости и маневренности.
TEXT_TOOLTIP_MARAUDER_MISSILE_HULL,Корпус: 750
TEXT_TOOLTIP_MARAUDER_MISSILE_MOVE,Скорость: 5,6 | Ускорение: 0,25 | Поворот: 0,65
TEXT_TOOLTIP_MARAUDER_MISSILE_WEAP1,2 штурмовые ударные ракеты: 2 / 10,0 с / 7,0 км
TEXT_TOOLTIP_MARAUDER_MOVE,Скорость: 6,3 | Ускорение: 0,3 | Поворот: 0,65
TEXT_TOOLTIP_MARAUDER_PICKET,Модернизация корвета класса «Мародер» с удвоением количества тяжелых турболазерных батарей и заменой остальных на лазеры точечной защиты. Чаще всего встречается на чёрных рынках или в пространстве хаттов.
TEXT_TOOLTIP_MARAUDER_PICKET_HULL,Корпус: 750
TEXT_TOOLTIP_MARAUDER_PICKET_PD,Точечная защита: 1 / 0,32 с / 1,75 км.
TEXT_TOOLTIP_MARAUDER_PICKET_WEAP1,2 тяжелых турболазера: 2 / 5,0 с / 7,0 км
TEXT_TOOLTIP_MARAUDER_PICKET_WEAP2,6 тяжелых двойных скоростных лазерных пушек: 6 / 5,0 с / 4,0 км
TEXT_TOOLTIP_MARAUDER_SHIELD,Щиты: 750 /
